date,home,away
10/2/2019,Vancouver Canucks,Edmonton Oilers
10/2/2019,Washington Capitals,St. Louis Blues
10/2/2019,Ottawa Senators,Toronto Maple Leafs
10/2/2019,San Jose Sharks,Vegas Golden Knights
10/3/2019,Arizona Coyotes,Anaheim Ducks
10/3/2019,Montreal Canadiens,Carolina Hurricanes
10/3/2019,Calgary Flames,Colorado Avalanche
10/3/2019,Boston Bruins,Dallas Stars
10/3/2019,Minnesota Wild,Nashville Predators
10/3/2019,Winnipeg Jets,New York Rangers
10/3/2019,Buffalo Sabres,Pittsburgh Penguins
10/3/2019,Florida Panthers,Tampa Bay Lightning
10/4/2019,Toronto Maple Leafs,Columbus Blue Jackets
10/4/2019,Winnipeg Jets,New Jersey Devils
10/4/2019,Washington Capitals,New York Islanders
10/4/2019,Chicago Blackhawks,Philadelphia Flyers
10/4/2019,Vegas Golden Knights,San Jose Sharks
10/5/2019,San Jose Sharks,Anaheim Ducks
10/5/2019,Boston Bruins,Arizona Coyotes
10/5/2019,New Jersey Devils,Buffalo Sabres
10/5/2019,Vancouver Canucks,Calgary Flames
10/5/2019,Minnesota Wild,Colorado Avalanche
10/5/2019,Los Angeles Kings,Edmonton Oilers
10/5/2019,Tampa Bay Lightning,Florida Panthers
10/5/2019,Detroit Red Wings,Nashville Predators
10/5/2019,New York Rangers,Ottawa Senators
10/5/2019,Columbus Blue Jackets,Pittsburgh Penguins
10/5/2019,Dallas Stars,St. Louis Blues
10/5/2019,Montreal Canadiens,Toronto Maple Leafs
10/5/2019,Carolina Hurricanes,Washington Capitals
10/6/2019,Tampa Bay Lightning,Carolina Hurricanes
10/6/2019,Dallas Stars,Detroit Red Wings
10/6/2019,Winnipeg Jets,New York Islanders
10/7/2019,Buffalo Sabres,Columbus Blue Jackets
10/7/2019,St. Louis Blues,Toronto Maple Leafs
10/8/2019,Los Angeles Kings,Calgary Flames
10/8/2019,Anaheim Ducks,Detroit Red Wings
10/8/2019,Carolina Hurricanes,Florida Panthers
10/8/2019,San Jose Sharks,Nashville Predators
10/8/2019,Edmonton Oilers,New York Islanders
10/8/2019,Winnipeg Jets,Pittsburgh Penguins
10/8/2019,Boston Bruins,Vegas Golden Knights
10/8/2019,Dallas Stars,Washington Capitals
10/9/2019,Montreal Canadiens,Buffalo Sabres
10/9/2019,New Jersey Devils,Philadelphia Flyers
10/9/2019,Los Angeles Kings,Vancouver Canucks
10/10/2019,Vegas Golden Knights,Arizona Coyotes
10/10/2019,San Jose Sharks,Chicago Blackhawks
10/10/2019,Boston Bruins,Colorado Avalanche
10/10/2019,Calgary Flames,Dallas Stars
10/10/2019,Detroit Red Wings,Montreal Canadiens
10/10/2019,Edmonton Oilers,New Jersey Devils
10/10/2019,Washington Capitals,Nashville Predators
10/10/2019,St. Louis Blues,Ottawa Senators
10/10/2019,Anaheim Ducks,Pittsburgh Penguins
10/10/2019,Tampa Bay Lightning,Toronto Maple Leafs
10/10/2019,Minnesota Wild,Winnipeg Jets
10/11/2019,Florida Panthers,Buffalo Sabres
10/11/2019,New York Islanders,Carolina Hurricanes
10/11/2019,Anaheim Ducks,Columbus Blue Jackets
10/12/2019,New Jersey Devils,Boston Bruins
10/12/2019,Columbus Blue Jackets,Carolina Hurricanes
10/12/2019,Winnipeg Jets,Chicago Blackhawks
10/12/2019,Arizona Coyotes,Colorado Avalanche
10/12/2019,Washington Capitals,Dallas Stars
10/12/2019,Toronto Maple Leafs,Detroit Red Wings
10/12/2019,Nashville Predators,Los Angeles Kings
10/12/2019,Pittsburgh Penguins,Minnesota Wild
10/12/2019,St. Louis Blues,Montreal Canadiens
10/12/2019,Florida Panthers,New York Islanders
10/12/2019,Edmonton Oilers,New York Rangers
10/12/2019,Tampa Bay Lightning,Ottawa Senators
10/12/2019,Philadelphia Flyers,Vancouver Canucks
10/12/2019,Calgary Flames,Vegas Golden Knights
10/13/2019,Vegas Golden Knights,Los Angeles Kings
10/13/2019,Calgary Flames,San Jose Sharks
10/13/2019,Pittsburgh Penguins,Winnipeg Jets
10/14/2019,Anaheim Ducks,Boston Bruins
10/14/2019,Dallas Stars,Buffalo Sabres
10/14/2019,Edmonton Oilers,Chicago Blackhawks
10/14/2019,Florida Panthers,New Jersey Devils
10/14/2019,St. Louis Blues,New York Islanders
10/14/2019,Minnesota Wild,Ottawa Senators
10/14/2019,Colorado Avalanche,Washington Capitals
