Team,Division,Conference,Abbr
Anaheim Ducks*,Pacific,West,ANA
Arizona Coyotes*,Pacific,West,ARI
Boston Bruins*,Atlantic,East,BOS
Buffalo Sabres*,Atlantic,East,BUF
Calgary Flames*,Pacific,West,CGY
Carolina Hurricanes*,Metropolitan,East,CAR
Chicago Blackhawks*,Central,West,CHI
Colorado Avalanche*,Central,West,COL
Columbus Blue Jackets*,Metropolitan,East,CBJ
Dallas Stars*,Central,West,DAL
Detroit Red Wings*,Atlantic,East,DET
Edmonton Oilers*,Pacific,West,EDM
Florida Panthers*,Atlantic,East,FLA
Los Angeles Kings*,Pacific,West,LAK
Minnesota Wild*,Central,West,MIN
Montreal Canadiens*,Atlantic,East,MTL
Nashville Predators*,Central,West,NSH
New Jersey Devils*,Metropolitan,East,NJD
New York Islanders*,Metropolitan,East,NYI
New York Rangers*,Metropolitan,East,NYR
Ottawa Senators*,Atlantic,East,OTT
Philadelphia Flyers*,Metropolitan,East,PHI
Pittsburgh Penguins*,Metropolitan,East,PIT
San Jose Sharks*,Pacific,West,SJS
St. Louis Blues*,Central,West,STL
Tampa Bay Lightning*,Atlantic,East,TBL
Toronto Maple Leafs*,Atlantic,East,TOR
Vancouver Canucks*,Pacific,West,VAN
Vegas Golden Knights*,Pacific,West,VGK
Washington Capitals*,Metropolitan,East,WPG
Winnipeg Jets*,Central,West,WSH
